timestamp,mmsi,name,type,lat,lon,speed,course,heading,nav_stat,session_id,is_interpolated,is_synthetic,source_camera
2026-05-27 06:36:37,244860670,MSTX 9,High Speed Craft,51.90654,4.479168333333333,6.1,137.0,511.0,,2026-05-27_15-35,False,False,
2026-05-27 06:36:47,244860670,MSTX 9,High Speed Craft,51.90659412587413,4.479304589743589,6.058041958041958,132.7176361278095,511.0,,2026-05-27_15-35,True,False,
2026-05-27 06:36:57,244860670,MSTX 9,High Speed Craft,51.90664825174825,4.479440846153846,6.016083916083916,127.64595951604711,511.0,,2026-05-27_15-35,True,False,
2026-05-27 06:37:07,244860670,MSTX 9,High Speed Craft,51.90670237762238,4.479577102564102,5.974125874125874,121.64957749608595,511.0,,2026-05-27_15-35,True,False,
2026-05-27 06:37:17,244860670,MSTX 9,High Speed Craft,51.9067565034965,4.479713358974359,5.932167832167832,114.6218894237752,511.0,,2026-05-27_15-35,True,False,
2026-05-27 06:37:27,244860670,MSTX 9,High Speed Craft,51.90681062937063,4.479849615384615,5.89020979020979,106.54082775064592,511.0,,2026-05-27_15-35,True,False,
2026-05-27 06:37:37,244860670,MSTX 9,High Speed Craft,51.906864755244754,4.479985871794871,5.848251748251748,97.54047394902494,511.0,,2026-05-27_15-35,True,False,
2026-05-27 06:37:47,244860670,MSTX 9,High Speed Craft,51.90691888111888,4.480122128205128,5.806293706293706,87.95783926984171,511.0,,2026-05-27_15-35,True,False,
2026-05-27 06:37:57,244860670,MSTX 9,High Speed Craft,51.906973006993006,4.480258384615384,5.764335664335664,78.29370634146903,511.0,,2026-05-27_15-35,True,False,
2026-05-27 06:38:07,244860670,MSTX 9,High Speed Craft,51.907027132867135,4.480394641025641,5.722377622377622,69.0740615442636,511.0,,2026-05-27_15-35,True,False,
2026-05-27 06:38:17,244860670,MSTX 9,High Speed Craft,51.90708125874126,4.480530897435897,5.6804195804195805,60.69427510939733,511.0,,2026-05-27_15-35,True,False,
2026-05-27 06:38:27,244860670,MSTX 9,High Speed Craft,51.90713538461539,4.480667153846153,5.638461538461538,53.34718638072764,511.0,,2026-05-27_15-35,True,False,
2026-05-27 06:38:37,244860670,MSTX 9,High Speed Craft,51.90718951048951,4.48080341025641,5.596503496503496,47.05006068847473,511.0,,2026-05-27_15-35,True,False,
2026-05-27 06:38:47,244860670,MSTX 9,High Speed Craft,51.90724363636364,4.480939666666666,5.554545454545455,41.71468809238559,511.0,,2026-05-27_15-35,True,False,
2026-05-27 06:38:57,244860670,MSTX 9,High Speed Craft,51.90729776223776,4.481075923076923,5.512587412587413,37.20997731417384,511.0,,2026-05-27_15-35,True,False,
2026-05-27 06:39:00,244700444,AMIANTO,Cargo,51.914211,4.48506,13.08,101.28,511.0,,2026-05-27_15-35,True,False,
