timestamp,mmsi,name,type,lat,lon,speed,course,heading,nav_stat,session_id,is_interpolated
2026-05-27 06:40:00,244700444,AMIANTO,Cargo,51.911785,4.4879799,9.1,221.0,511.0,,2026-05-27_15-35,False
2026-05-27 06:40:10,244700444,AMIANTO,Cargo,51.911251666666665,4.487236251032448,9.161946902654867,221.38026300124483,511.0,,2026-05-27_15-35,True
2026-05-27 06:40:20,244700444,AMIANTO,Cargo,51.910718333333335,4.486492602064897,9.223893805309734,221.76068201934427,511.0,,2026-05-27_15-35,True
2026-05-27 06:40:30,244700444,AMIANTO,Cargo,51.910185,4.485748953097345,9.285840707964601,222.14122359200002,511.0,,2026-05-27_15-35,True
2026-05-27 06:40:40,244700444,AMIANTO,Cargo,51.90965166666667,4.4850053041297935,9.34778761061947,222.5218541921085,511.0,,2026-05-27_15-35,True
2026-05-27 06:40:50,244700444,AMIANTO,Cargo,51.90911833333333,4.484261655162242,9.409734513274337,222.90254024545018,511.0,,2026-05-27_15-35,True
2026-05-27 06:41:00,244700444,AMIANTO,Cargo,51.908585,4.48351800619469,9.471681415929204,223.28324814844143,511.0,,2026-05-27_15-35,True
2026-05-27 06:41:10,244700444,AMIANTO,Cargo,51.908051666666665,4.482774357227139,9.533628318584071,223.6639442859251,511.0,,2026-05-27_15-35,True
2026-05-27 06:41:20,244700444,AMIANTO,Cargo,51.907518333333336,4.482030708259587,9.595575221238938,224.04459504897636,511.0,,2026-05-27_15-35,True
2026-05-27 06:41:30,244700444,AMIANTO,Cargo,51.906985,4.481287059292035,9.657522123893806,224.42516685270027,511.0,,2026-05-27_15-35,True
2026-05-27 06:41:40,244700444,AMIANTO,Cargo,51.90645166666666,4.480543410324484,9.719469026548673,224.80562615399785,511.0,,2026-05-27_15-35,True
2026-05-27 06:41:50,244700444,AMIANTO,Cargo,51.90591833333333,4.479799761356932,9.78141592920354,225.18593946927643,511.0,,2026-05-27_15-35,True
2026-05-27 06:36:37,244860670,MSTX 9,High Speed Craft,51.90654,4.479168333333333,6.1,137.0,511.0,,2026-05-27_15-35,False
2026-05-27 06:36:47,244860670,MSTX 9,High Speed Craft,51.90659412587413,4.479304589743589,6.058041958041958,132.7176361278095,511.0,,2026-05-27_15-35,True
2026-05-27 06:36:57,244860670,MSTX 9,High Speed Craft,51.90664825174825,4.479440846153846,6.0160839160839155,127.64595951604713,511.0,,2026-05-27_15-35,True
2026-05-27 06:37:07,244860670,MSTX 9,High Speed Craft,51.90670237762238,4.479577102564102,5.974125874125874,121.64957749608595,511.0,,2026-05-27_15-35,True
2026-05-27 06:37:17,244860670,MSTX 9,High Speed Craft,51.9067565034965,4.479713358974359,5.932167832167832,114.6218894237752,511.0,,2026-05-27_15-35,True
2026-05-27 06:37:27,244860670,MSTX 9,High Speed Craft,51.90681062937063,4.479849615384615,5.89020979020979,106.54082775064592,511.0,,2026-05-27_15-35,True
2026-05-27 06:37:37,244860670,MSTX 9,High Speed Craft,51.906864755244754,4.479985871794871,5.848251748251748,97.54047394902494,511.0,,2026-05-27_15-35,True
2026-05-27 06:37:47,244860670,MSTX 9,High Speed Craft,51.906918881118884,4.480122128205128,5.806293706293706,87.95783926984171,511.0,,2026-05-27_15-35,True
2026-05-27 06:37:57,244860670,MSTX 9,High Speed Craft,51.906973006993006,4.480258384615384,5.764335664335664,78.29370634146903,511.0,,2026-05-27_15-35,True
2026-05-27 06:38:07,244860670,MSTX 9,High Speed Craft,51.907027132867135,4.480394641025641,5.722377622377622,69.0740615442636,511.0,,2026-05-27_15-35,True
2026-05-27 06:38:17,244860670,MSTX 9,High Speed Craft,51.90708125874126,4.480530897435897,5.6804195804195805,60.694275109397324,511.0,,2026-05-27_15-35,True
2026-05-27 06:38:27,244860670,MSTX 9,High Speed Craft,51.90713538461539,4.480667153846153,5.638461538461538,53.347186380727635,511.0,,2026-05-27_15-35,True
2026-05-27 06:38:37,244860670,MSTX 9,High Speed Craft,51.90718951048951,4.48080341025641,5.596503496503496,47.05006068847473,511.0,,2026-05-27_15-35,True
2026-05-27 06:38:47,244860670,MSTX 9,High Speed Craft,51.90724363636364,4.480939666666666,5.554545454545455,41.714688092385586,511.0,,2026-05-27_15-35,True
2026-05-27 06:38:57,244860670,MSTX 9,High Speed Craft,51.90729776223776,4.481075923076923,5.512587412587413,37.20997731417384,511.0,,2026-05-27_15-35,True
